Correlation_time(tau) Relaxation_corr(R(tau)) 
   1.0200    0.9907
   1.0400    0.9905
   1.0600    0.9904
   1.0800    0.9903
   1.1000    0.9901
   1.1200    0.9899
   1.1400    0.9898
   1.1600    0.9897
   1.1800    0.9895
   1.2000    0.9893
   1.2200    0.9892
   1.2400    0.9891
   1.2600    0.9889
   1.2800    0.9888
   1.3000    0.9887
   1.3200    0.9885
   1.3400    0.9884
   1.3600    0.9883
   1.3800    0.9881
   1.4000    0.9880
   1.4200    0.9879
   1.4400    0.9878
   1.4600    0.9876
   1.4800    0.9875
   1.5000    0.9874
   1.5200    0.9873
   1.5400    0.9872
   1.5600    0.9871
   1.5800    0.9870
   1.6000    0.9868
   1.6200    0.9867
   1.6400    0.9866
   1.6600    0.9866
   1.6800    0.9864
   1.7000    0.9864
   1.7200    0.9863
   1.7400    0.9862
   1.7600    0.9861
   1.7800    0.9860
   1.8000    0.9860
   1.8200    0.9859
   1.8400    0.9858
   1.8600    0.9857
   1.8800    0.9856
   1.9000    0.9855
   1.9200    0.9854
   1.9400    0.9853
   1.9600    0.9852
   1.9800    0.9851
   2.0000    0.9850
