0	100
0.1	99.25062479
0.2	97.00998668
0.3	93.30047337
0.4	88.1591491
0.5	81.63738428
0.6	73.80034224
0.7	64.72632809
0.8	54.5060064
0.9	43.24149524
1	31.04534588
1.1	18.03941821
1.2	4.353663172
1.3	-9.875175706
1.4	-24.50492856
1.5	-39.38941975
1.6	-54.37992835
1.7	-69.32667414
1.8	-84.0803142
1.9	-98.49343503
2	-112.4220255
2.1	-125.7269157
2.2	-138.2751676
2.3	-149.9414032
2.4	-160.6090573
2.5	-170.1715423
2.6	-178.533313
2.7	-185.6108213
2.8	-191.3333511
2.9	-195.6437248
3	-198.4988745
3.1	-199.8702725
3.2	-199.7442164
3.3	-198.1219655
3.4	-195.0197289
3.5	-190.4685031
3.6	-184.5137625
3.7	-177.2150048
3.8	-168.6451568
3.9	-158.8898456
4	-148.0465431
4.1	-136.223592
4.2	-123.5391232
4.3	-110.1198758
4.4	-96.0999305
4.5	-81.61936991
4.6	-66.82287904
4.7	-51.85829952
4.8	-36.87515248
4.9	-22.02314459
5	-7.450672181
5.1	6.696661407
5.2	20.2775007
5.3	33.15615043
5.4	45.20393139
5.5	56.30046614
5.6	66.33488178
5.7	75.20691773
5.8	82.82792754
5.9	89.12176461
6	94.025543
6.1	97.49026577
6.2	99.48131455

